contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_-NONE-_36C26224P0278_0_-NONE-_0,36C26224P0278,RLS (USA) INC.,Department of Veterans Affairs,Department of Veterans Affairs,DRUGS AND BIOLOGICALS,PHARMACEUTICAL PREPARATION MANUFACTURING,2023-11-29,68627.1,68627.1,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26321P0459_P00003_-NONE-_0,36C26321P0459,PRESCRIPTION LANDSCAPE INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PIPE, TUBING, HOSE, AND FITTINGS",WATER SUPPLY AND IRRIGATION SYSTEMS,2023-10-25,3087.0,12730.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26323P0025_P00001_-NONE-_0,36C26323P0025,ROCHE DIAGNOSTICS CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,LABORATORY EQUIPMENT AND SUPPLIES,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2024-03-26,-14999.0,0.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26324P0660_0_-NONE-_0,36C26324P0660,"HEIDELBERG ENGINEERING, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-04-23,10667.85,10667.85,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26324P1089_0_-NONE-_0,36C26324P1089,ENVISAGE TECHNOLOGIES LLC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,SOFTWARE PUBLISHERS,2024-09-01,9019.0,9019.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77021P0537_P00005_-NONE-_0,36C77021P0537,"J.E. FEDERAL ENTERPRISES, LLC.",Department of Veterans Affairs,Department of Veterans Affairs,EDUCATION/TRAINING- OTHER,SOFTWARE PUBLISHERS,2024-05-09,14657.6,56708.25,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77624P0093_0_-NONE-_0,36C77624P0093,MOD COMM LLC,Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,2024-09-23,6000.0,6000.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_VA25517C0123_P00037_-NONE-_0,VA25517C0123,"CENSIS TECHNOLOGIES, INC.",Department of Veterans Affairs,Department of Veterans Affairs,INFORMATION TECHNOLOGY SOFTWARE,SOFTWARE PUBLISHERS,2024-06-17,-34911.84,4595188.55,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_3600_36C10B21N10150057_P00019_VA11816D1015_0,36C10B21N10150057,LIBERTY IT SOLUTIONS LLC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,2023-12-14,3837891.2,156729057.2,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24122N0903_P00001_36F79721D0099_0,36C24122N0903,BRUNO INDEPENDENT LIVING AIDS INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-11,-16684.42,0.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24222N0402_P00004_36C10X19D0020_0,36C24222N0402,PITNEY BOWES INC.,Department of Veterans Affairs,Department of Veterans Affairs,LEASE OR RENTAL OF EQUIPMENT- MATERIALS HANDLING EQUIPMENT,OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2024-02-29,94614.48,239833.36,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24424F0290_0_36F79719D0044_0,36C24424F0290,101 MOBILITY LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-03-20,12782.55,12782.55,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24424N0077_0_36C24422D0051_0,36C24424N0077,"SENATE BUILDERS & CONSTRUCTION MANAGERS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,REPAIR OR ALTERATION OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2023-12-12,118000.0,118000.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24522N0743_P00001_36C24521A0064_0,36C24522N0743,"MINBURN TECHNOLOGY GROUP, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,2024-04-04,-59864.99,1001215.14,COMPETED UNDER SAP,FIRM FIXED PRICE,BPA CALL
3600_3600_36C24524N0645_0_36F79720D0099_0,36C24524N0645,OTSUKA AMERICA PHARMACEUTICAL INC,Department of Veterans Affairs,Department of Veterans Affairs,DRUGS AND BIOLOGICALS,PHARMACEUTICAL PREPARATION MANUFACTURING,2024-06-04,12559.9,12559.9,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24524N0915_0_36C24523D0048_0,36C24524N0915,VALIANT CONSTRUCTION LLC,Department of Veterans Affairs,Department of Veterans Affairs,MAINTENANCE OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-09-26,17614961.0,17636902.12,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24623N0249_P00002_36C24620D0037_0,36C24623N0249,AIRGAS USA LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",INDUSTRIAL GAS MANUFACTURING,2023-12-14,-2780.97,84219.03,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24624N0608_0_36C77622D0020_0,36C24624N0608,"AMERICAN ACCESS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-03-26,15550.0,15550.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24624N0695_0_V797D70001_0,36C24624N0695,PRIDE MOBILITY PRODUCTS CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-13,10664.01,10664.01,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24624N0983_0_36F79719D0044_0,36C24624N0983,101 MOBILITY LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-08-08,49239.81,49239.81,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24624N1075_0_36F79721D0033_0,36C24624N1075,"SURGICAL TOOLS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-08-28,18715.02,18715.02,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24723N0186_P00002_36C24718D0140_0,36C24723N0186,THE CONSTRUCTION SERVICES GROUP INC,Department of Veterans Affairs,Department of Veterans Affairs,MAINTENANCE OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-05-07,21215.66,1253757.66,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24723N0532_P00002_36C24718D0130_0,36C24723N0532,ABRAMS GROUP CONSTRUCTION LLC,Department of Veterans Affairs,Department of Veterans Affairs,CONSTRUCTION OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-01-31,-689.25,115821.75,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24724F0444_0_36C10G18D0013_0,36C24724F0444,"JOHNSONDANFORTH, INC",Department of Veterans Affairs,Department of Veterans Affairs,OFFICE FURNITURE,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2024-05-22,161541.08,161541.08,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24724N0196_0_36C24723D0052_0,36C24724N0196,QUEST DIAGNOSTICS INCORPORATED,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- LABORATORY TESTING,MEDICAL LABORATORIES,2024-01-05,384846.0,384846.0,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24724N0817_0_V797D70001_0,36C24724N0817,PRIDE MOBILITY PRODUCTS CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-07-03,10473.33,10473.33,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24924K0465_0_36C24924D0052_0,36C24924K0465,MONETTE MANOR LLC,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- NURSING HOME CARE CONTRACTS,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2024-03-20,80698.64,80698.64,COMPETED UNDER SAP,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,DELIVERY ORDER
3600_3600_36C24924N0204_P00001_36C24921A0029_0,36C24924N0204,"VETERANS COMMAND, LLC",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: COURT REPORTING,DOCUMENT PREPARATION SERVICES,2024-06-21,0.0,50000.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,BPA CALL
3600_3600_36C24924N0279_P00002_V797D50532_0,36C24924N0279,LABORATORY CORPORATION OF AMERICA,Department of Veterans Affairs,Department of Veterans Affairs,REFERENCE LABORATORY TESTING,MEDICAL LABORATORIES,2024-06-27,105000.0,280000.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24E24N0243_0_36C24E22D0026_0,36C24E24N0243,OREGON HEALTH & SCIENCE UNIVERSITY,Department of Veterans Affairs,Department of Veterans Affairs,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2024-09-04,5000.0,5000.0,NOT AVAILABLE FOR COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25024N0497_0_36C77622A0009_0,36C25024N0497,"PREVAIL PROSTHETICS & ORTHOTICS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-05-20,12558.65,12558.65,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,BPA CALL
3600_3600_36C25024N0928_0_36C77622A0031_0,36C25024N0928,OPTIMUS LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-09-30,14749.97,14749.97,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,BPA CALL
3600_3600_36C25223F0257_P00001_V797D30289_0,36C25223F0257,BAY AREA ANESTHESIA LLC,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- NURSING,TEMPORARY HELP SERVICES,2023-11-29,-142410.0,712240.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25223N0486_P00001_36C25223D0064_0,36C25223N0486,QUEST DIAGNOSTICS INCORPORATED,Department of Veterans Affairs,Department of Veterans Affairs,REFERENCE LABORATORY TESTING,MEDICAL LABORATORIES,2024-07-10,-64717.27,73282.73,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25224N0504_0_36C10G18D0072_0,36C25224N0504,SDV OFFICE SYSTEMS LLC,Department of Veterans Affairs,Department of Veterans Affairs,OFFICE FURNITURE,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2024-07-30,240544.74,240544.74,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25622N0892_P00001_36C25621D0058_0,36C25622N0892,DENTAL CRAFTS LAB INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",DENTAL LABORATORIES,2023-12-11,-37123.5,34876.5,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25720N0201_P00009_V797D50442_0,36C25720N0201,A-TEAM SOLUTIONS LLC,Department of Veterans Affairs,Department of Veterans Affairs,REFERENCE LABORATORY TESTING,TEMPORARY HELP SERVICES,2024-07-17,59280.0,2238090.74,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25724N0245_0_36C25724D0053_0,36C25724N0245,"PDS CONSULTANTS, INC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",OPHTHALMIC GOODS MANUFACTURING,2024-02-29,290482.4,290482.4,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25924K0348_0_36C25921D0029_0,36C25924K0348,BENT COUNTY HEALTHCARE CENTER,Department of Veterans Affairs,Department of Veterans Affairs,"NURSING HOME, LONG-TERM & ADULT DAY CARE SERVICES",NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2024-07-23,10.07,10.07,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25924N0009_P00002_VA797H17D0022_0,36C25924N0009,PHILIPS NORTH AMERICA LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",IRRADIATION APPARATUS MANUFACTURING,2024-08-05,-94616.55,1697415.43,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C25924N0432_0_36C25922D0010_0,36C25924N0432,"RDC+EA, L.L.L.P.",Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,ENGINEERING SERVICES,2024-09-12,486831.0,486831.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C26023N0040_P00004_36C26021D0002_0,36C26023N0040,"AMERICAN MEDICAL RESPONSE AMBULANCE SERVICE, INC.",Department of Veterans Affairs,Department of Veterans Affairs,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AMBULANCE,AMBULANCE SERVICES,2024-09-18,56756.8,539290.27,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C26024F0215_0_36F79720D0171_0,36C26024F0215,"T F HERCEG, INC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-02-14,12911.69,12911.69,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C26024K0019_0_36C26023D0002_0,36C26024K0019,"V.M.C., INC.",Department of Veterans Affairs,Department of Veterans Affairs,"NURSING HOME, LONG-TERM & ADULT DAY CARE SERVICES",NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2024-05-23,676099.4,676099.4,NOT COMPETED,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,DELIVERY ORDER
3600_3600_36C26223N0706_P00001_36C25818D0056_0,36C26223N0706,"HYPERION BIOTECHNOLOGY, INC.",Department of Veterans Affairs,Department of Veterans Affairs,INSPECTION- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,ENVIRONMENTAL CONSULTING SERVICES,2024-07-01,0.0,86464.9,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C26224N0949_0_36C26221D0046_0,36C26224N0949,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Department of Veterans Affairs,Department of Veterans Affairs,OPHTHALMOLOGY & OPTOMETRY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2024-08-20,87630.4,87630.4,NOT COMPETED,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,DELIVERY ORDER
3600_3600_36C26324N0051_0_36C26321D0029_0,36C26324N0051,"AIRGAS USA, LLC",Department of Veterans Affairs,Department of Veterans Affairs,GASES: COMPRESSED AND LIQUEFIED,INDUSTRIAL GAS MANUFACTURING,2023-10-05,9701.26,9701.16,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C78624N0442_0_36C78620D0037_0,36C78624N0442,"BRIGHTWOOD MANAGEMENT PARTNERS, LLC",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,LANDSCAPING SERVICES,2024-03-26,29941.25,29941.25,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C78624N0685_0_36C78621A0007_0,36C78624N0685,PAULA F PRICE ENTERPRISES LLC,Department of Veterans Affairs,Department of Veterans Affairs,"TRACTORS, WHEELED",LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2024-06-27,89701.24,89701.24,COMPETED UNDER SAP,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,BPA CALL
3600_3600_36C78624N0809_0_36C78621D0070_0,36C78624N0809,RED ORANGE NORTH AMERICA INC.,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- LAUNDRY/DRYCLEANING,DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),2024-08-11,1820.0,1820.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C78624N0889_0_36C78620D0034_0,36C78624N0889,"TRUE CLEAN CARPETS & JANITORIAL SERVICES, INC.",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- CUSTODIAL JANITORIAL,JANITORIAL SERVICES,2024-09-01,1900.0,1900.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_4730_VA24517F0932_P00015_GS06F0031N_0,VA24517F0932,TK ELEVATOR CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,MAINTENANCE OF HOSPITALS AND INFIRMARIES,LANDSCAPING SERVICES,2024-03-14,-2011.68,304985.67,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24723F0694_P00001_47QSWA23D0057_0,36C24723F0694,IFE GROUP,Department of Veterans Affairs,Department of Veterans Affairs,KITCHEN EQUIPMENT AND APPLIANCES,FOOD PRODUCT MACHINERY MANUFACTURING,2024-01-09,-2787.53,22363.54,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C77024F0076_0_47QMCA20D000U_0,36C77024F0076,"AVIATE ENTERPRISES, INC.",Department of Veterans Affairs,Department of Veterans Affairs,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,CONSTRUCTION MACHINERY MANUFACTURING,2024-09-19,10799.6,10799.6,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C78623F50136_P00004_GS03F045DA_0,36C78623F50136,KYOCERA DOCUMENT SOLUTIONS AMERICA INC,Department of Veterans Affairs,Department of Veterans Affairs,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2024-08-14,0.0,2880.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_7529_36C24824F0312_0_HHSN316201500034W_0,36C24824F0312,"FOUR POINTS TECHNOLOGY, L.L.C.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",OTHER COMPUTER RELATED SERVICES,2024-08-29,178204.74,178204.74,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_8000_36C10A23F0080_P00002_NNG15SD34B_0,36C10A23F0080,"MINBURN TECHNOLOGY GROUP, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"IT AND TELECOM - END USER: HELP DESK;TIER 1-2,WORKSPACE,PRINT,OUTPUT,PRODUCTIVITY TOOLS (HW/PERP SW)",OTHER COMPUTER RELATED SERVICES,2024-08-08,0.0,4532346.26,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_8000_36C26324F0002_0_NNG15SD34B_0,36C26324F0002,"MINBURN TECHNOLOGY GROUP, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,2023-10-01,351150.08,351150.08,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_8000_36C10B24F0066_P00003_NNG15SD27B_0,36C10B24F0066,"V3GATE, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,2024-06-13,30591.0,443660.47,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_9700_36C24924F0147_0_SPE2D117D0023_0,36C24924F0147,"SIEMENS MEDICAL SOLUTIONS USA, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",IRRADIATION APPARATUS MANUFACTURING,2024-06-24,13619.4,13619.4,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C24124P0249_P00001_-NONE-_0,36C24124P0249,THERMO ELECTRON NORTH AMERICA LLC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-04-30,47710.08,100940.16,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24221C0051_P00010_-NONE-_0,36C24221C0051,"ANCHOR CONTRACTING, LLC",Department of Veterans Affairs,Department of Veterans Affairs,CONSTRUCTION OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2023-12-05,0.0,3126499.67,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24224P0116_P00002_-NONE-_0,36C24224P0116,"RANTECH, INC.",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- INSECT/RODENT CONTROL,EXTERMINATING AND PEST CONTROL SERVICES,2024-01-11,17750.0,71000.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224P0684_0_-NONE-_0,36C24224P0684,MEDTRONIC USA INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-02-06,56856.35,56856.35,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24420P0240_P00007_-NONE-_0,36C24420P0240,"PENN POWER GROUP, LLC",Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2024-06-27,-4945.0,97506.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24421P0626_P00005_-NONE-_0,36C24421P0626,ECOLOGY MIR GROUP LLC,Department of Veterans Affairs,Department of Veterans Affairs,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,2024-07-09,13735.2,103334.4,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24423P0144_P00003_-NONE-_0,36C24423P0144,INVISTICS CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,SOFTWARE PUBLISHERS,2024-05-29,0.0,189428.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
